Disease,Description,Source,Source_URL,Retrieved_Date,Canonical_Query
emphysema,"Emphysema is a condition of the lung marked by abnormal enlargement of the alveoli with loss of pulmonary elasticity. Most commonly, emphysema refers to the permanent enlargement of air spaces (alveoli) in the lungs, and is also known as pulmonary emphysema.",Wikipedia_fallback,https://en.wikipedia.org/wiki/Emphysema,2026-02-07,emphysema
cysticercosis,"Cysticercosis is a tissue infection caused by the young form of the pork tapeworm. People may have few or no symptoms for years. In some cases, particularly in Asia, solid lumps of between one and two centimeters may develop under the skin. After months or years, these lumps can become painful and swollen and then resolve. A specific form called neurocysticercosis, which affects the brain, can cause neurological symptoms. In developing countries, this is one of the most common causes of seizures.",Wikipedia_fallback,https://en.wikipedia.org/wiki/Cysticercosis,2026-02-07,cysticercosis
induced abortion,"Abortion is the termination of a pregnancy by removal or expulsion of an embryo or fetus. The unmodified word abortion generally refers to induced abortion, or deliberate actions to end a pregnancy. Abortion occurring without intervention is known as spontaneous abortion or ""miscarriage"", and occurs in roughly 30–40% of all pregnancies. Common reasons for inducing an abortion are birth-timing and limiting family size. Other reasons include maternal health, an inability to afford a child, domestic violence, lack of support, feelings of being too young, wishing to complete an education or advance a career, and not being able, or willing, to raise a child conceived as a result of rape or incest.",Wikipedia_fallback,https://en.wikipedia.org/wiki/Abortion,2026-02-07,induced abortion
teething syndrome,"Teething is the process by which an infant's first teeth appear by emerging through the gums, typically arriving in pairs. The mandibular central incisors are the first primary teeth to erupt, usually between 6 and 10 months of age, causing discomfort and pain to the infant. It can take several years for all 20 teeth to complete the tooth eruption. Though the process of teething is sometimes referred to as ""cutting teeth"", when teeth emerge through the gums they do not cut through the flesh. Instead, hormones are released within the body that cause some cells in the gums to die and separate, allowing the teeth to come through.",Wikipedia_fallback,https://en.wikipedia.org/wiki/Teething,2026-02-07,teething
infectious gastroenteritis,"Gastroenteritis, also known as infectious diarrhea, is an inflammation of the gastrointestinal tract including the stomach and intestine. Symptoms may include diarrhea, vomiting, and abdominal pain. Fever, lack of energy, and dehydration may also occur. This typically lasts less than two weeks. Although it is not related to influenza, in Canada and the United States it is often referred to as ""stomach flu"".",Wikipedia_fallback,https://en.wikipedia.org/wiki/Gastroenteritis,2026-02-07,infectious gastroenteritis
acute sinusitis,"Sinusitis, also known as rhinosinusitis and commonly known as a sinus infection, is an inflammation of the mucous membranes that line the sinuses resulting in symptoms that may include production of thick nasal mucus, nasal congestion, facial congestion, facial pain, facial pressure, loss of smell, or fever.",Wikipedia_fallback,https://en.wikipedia.org/wiki/Sinusitis,2026-02-07,acute sinusitis
substance related mental disorder,"Substance-related disorders are a class of disorders listed in the DSM-5 that are ""related to the taking of a drug of abuse "".",Wikipedia_search,https://en.wikipedia.org/wiki/Substance-related_disorder,2026-02-07,substance related mental disorder | wiki_title:Substance-related disorder
postpartum depression,"Postpartum depression (PPD), also known as perinatal depression, is a mood disorder which may be experienced by pregnant or postpartum women. Symptoms include extreme sadness, low energy, anxiety, crying episodes, irritability, and extreme changes in sleeping or eating patterns. PPD can also negatively affect the newborn child.",Wikipedia_fallback,https://en.wikipedia.org/wiki/Postpartum_depression,2026-02-07,postpartum depression
coronary atherosclerosis,"Atherosclerosis is a pattern of the disease arteriosclerosis, characterized by development of abnormalities called lesions in walls of arteries. This is a chronic inflammatory disease involving many different cell types and is driven by elevated blood levels of cholesterol. These lesions may lead to narrowing of the arterial walls due to buildup of atheromatous plaques.",Wikipedia_fallback,https://en.wikipedia.org/wiki/Atherosclerosis,2026-02-07,coronary atherosclerosis
spondylitis,"Spondylitis is an inflammation of the vertebrae. It is a form of spondylopathy. In many cases, spondylitis involves one or more vertebral joints, as well, which itself is called spondylarthritis.",Wikipedia_fallback,https://en.wikipedia.org/wiki/Spondylitis,2026-02-07,spondylitis
pituitary adenoma,"A pituitary adenoma is a tumor that occurs in the pituitary gland. Most pituitary tumors are benign, approximately 35% are invasive and just 0.1% to 0.2% are carcinomas. Pituitary adenomas represent from 10% to 25% of all intracranial neoplasms, with an estimated prevalence rate in the general population of approximately 17%.",Wikipedia_fallback,https://en.wikipedia.org/wiki/Pituitary_adenoma,2026-02-07,pituitary adenoma
uterine fibroids,"Uterine fibroids, also known as uterine leiomyomas, fibromyoma or fibroids, are benign smooth muscle tumors of the uterus, part of the female reproductive system. Most people with fibroids have no symptoms while others may have painful or heavy menstrual bleeding. If large enough, they may push on the bladder, causing a frequent need to urinate. They may also cause pain during penetrative sex or lower back pain. Someone can have one uterine fibroid or many. It is uncommon but possible that fibroids may make it difficult to become pregnant.",Wikipedia_fallback,https://en.wikipedia.org/wiki/Uterine_fibroid,2026-02-07,uterine fibroids
idiopathic nonmenstrual bleeding,"Abnormal uterine bleeding is vaginal bleeding from the uterus that is abnormally frequent, lasts excessively long, is heavier than normal, or is irregular. The term ""dysfunctional uterine bleeding"" was used when no underlying cause was present. Quality of life may be negatively affected.",Wikipedia_search,https://en.wikipedia.org/wiki/Abnormal_uterine_bleeding,2026-02-07,abnormal uterine bleeding | wiki_title:Abnormal uterine bleeding
chalazion,"A chalazion or meibomian cyst is not a cyst but a granuloma in the eyelid that results from a blocked meibomian gland. It typically occurs in the middle of the eyelid, is red, and is not painful. They tend to develop gradually over a few weeks.",Wikipedia_fallback,https://en.wikipedia.org/wiki/Chalazion,2026-02-07,chalazion
ovarian torsion,"Ovarian torsion (OT) or adnexal torsion is an abnormal condition where an ovary twists on its attachment to other structures, such that blood flow is decreased. Symptoms typically include pelvic pain on one side. While classically the pain is sudden in onset, this is not always the case. Other symptoms may include nausea. Complications may include infection, bleeding, or infertility.",Wikipedia_fallback,https://en.wikipedia.org/wiki/Ovarian_torsion,2026-02-07,ovarian torsion
retinopathy due to high blood pressure,Hypertensive retinopathy is damage to the retina and retinal circulation due to high blood pressure.,Wikipedia_fallback,https://en.wikipedia.org/wiki/Hypertensive_retinopathy,2026-02-07,hypertensive retinopathy
vaginal yeast infection,"Vaginal yeast infection, also known as candidal vulvovaginitis and vaginal thrush, is excessive growth of yeast in the vagina that results in irritation. The most common symptom is vaginal itching, which may be severe. Other symptoms include burning with urination, a thick, white vaginal discharge that typically does not smell bad, pain during sex, and redness around the vagina. Symptoms often worsen just before a period.",Wikipedia_fallback,https://en.wikipedia.org/wiki/Vaginal_yeast_infection,2026-02-07,vaginal yeast infection
mastoiditis,"Mastoiditis is the result of an infection that extends to the air cells of the skull behind the ear. Specifically, it is an inflammation of the mucosal lining of the mastoid antrum and mastoid air cell system inside the mastoid process. The mastoid process is the portion of the temporal bone of the skull that is behind the ear. The mastoid process contains open, air-containing spaces. Mastoiditis is usually caused by untreated acute otitis media and used to be a leading cause of child mortality. With the development of antibiotics, however, mastoiditis has become quite rare in developed countries where surgical treatment is now much less frequent and more conservative, unlike former times.",Wikipedia_fallback,https://en.wikipedia.org/wiki/Mastoiditis,2026-02-07,mastoiditis
lung contusion,"A pulmonary contusion, also known as a lung contusion, is a bruise of the lung, caused by chest trauma. As a result of damage to capillaries, blood and other fluids accumulate in the lung tissue. The excess fluid interferes with gas exchange, potentially leading to inadequate oxygen levels (hypoxia). Unlike a pulmonary laceration, another type of lung injury, a pulmonary contusion does not involve a cut or tear of the lung tissue.",Wikipedia_fallback,https://en.wikipedia.org/wiki/Pulmonary_contusion,2026-02-07,lung contusion
hocm,"Hypertrophic cardiomyopathy is a condition in which muscle tissues of the heart become thickened without an obvious cause. The parts of the heart most commonly affected are the interventricular septum and the ventricles. This results in the heart being less able to pump blood effectively and also may cause electrical conduction problems. Specifically affected are the bundle branches that conduct impulses through the interventricular septum and into the Purkinje fibers, as these are responsible for the depolarization of contractile cells of both ventricles.",Wikipedia_fallback,https://en.wikipedia.org/wiki/Hypertrophic_cardiomyopathy,2026-02-07,hypertrophic obstructive cardiomyopathy
ingrown toe nail,"An ingrown nail, also known as onychocryptosis, from Ancient Greek ὄνυξ (ónux), meaning ""nail"", and κρυπτός (kruptós), meaning ""hidden"", is a common form of nail disease. It is an often painful condition in which the nail grows so that it cuts into one or both sides of the paronychium or nail bed. While ingrown nails can occur in the nails of both the hands and the feet, they occur most commonly with the toenails.",Wikipedia_fallback,https://en.wikipedia.org/wiki/Ingrown_nail,2026-02-07,ingrown toenail
pulmonary eosinophilia,"Eosinophilia is a condition in which the eosinophil count in the peripheral blood exceeds 0.5×109/L (500/μL). Hypereosinophilia is an elevation in an individual's circulating blood eosinophil count above 1.5×109/L (1,500/μL). The hypereosinophilic syndrome is a sustained elevation in this count above 1.5×109/L (1,500/μL) that is also associated with evidence of eosinophil-based tissue injury.",Wikipedia_fallback,https://en.wikipedia.org/wiki/Eosinophilia,2026-02-07,pulmonary eosinophilia
corneal disorder,"Corneal opacification is a term used when the cornea of the eye loses its transparency. The term corneal opacity is used particularly for the loss of transparency of cornea due to scarring. Transparency of the cornea is dependent on the uniform diameter and the regular spacing and arrangement of the collagen fibrils within the stroma. Alterations in the spacing of collagen fibrils in a variety of conditions including corneal edema, scars, and macular corneal dystrophy is clinically manifested as corneal opacity. The term corneal blindness is commonly used to describe blindness due to corneal opacity.",Wikipedia_search,https://en.wikipedia.org/wiki/Corneal_opacity,2026-02-07,corneal disorder | wiki_title:Corneal opacity
foreign body in the gastrointestinal tract,"Rectal foreign bodies are large foreign items found in the rectum that can be assumed to have been inserted through the anus, rather than reaching the rectum via the mouth and gastrointestinal tract. It can be of clinical relevance if the patient cannot remove it the way they intended. Smaller, ingested foreign bodies, such as bones eaten with food, can sometimes be found stuck in the rectum upon X-ray and are rarely of clinical relevance.",Wikipedia_search,https://en.wikipedia.org/wiki/Rectal_foreign_body,2026-02-07,gastrointestinal foreign body | wiki_title:Rectal foreign body
endophthalmitis,"Endophthalmitis, or endophthalmia, is inflammation of the interior cavity of the eye, usually caused by an infection. It is a possible complication of all intraocular surgeries, particularly cataract surgery, and can result in loss of vision or loss of the eye itself. Infection can be caused by bacteria or fungi, and is classified as exogenous, or endogenous. Other non-infectious causes include toxins, allergic reactions, and retained intraocular foreign bodies. Intravitreal injections are a rare cause, with an incidence rate usually less than 0.05%.",Wikipedia_fallback,https://en.wikipedia.org/wiki/Endophthalmitis,2026-02-07,endophthalmitis
intestinal malabsorption,Malabsorption is a state arising from abnormality in absorption of food nutrients across the gastrointestinal (GI) tract. Impairment can be of single or multiple nutrients depending on the abnormality. This may lead to malnutrition and a variety of anaemias.,Wikipedia_fallback,https://en.wikipedia.org/wiki/Malabsorption,2026-02-07,intestinal malabsorption
viral warts,"Warts are non-cancerous viral growths usually occurring on the hands and feet but which can also affect other locations, such as the genitals or face. One or many warts may appear. They are distinguished from cancerous tumors as they are caused by a viral infection, such as a human papillomavirus, rather than a cancer growth.",Wikipedia_fallback,https://en.wikipedia.org/wiki/Wart,2026-02-07,viral warts
hyperhidrosis,"Hyperhidrosis is a medical condition in which a person exhibits excessive sweating, more than is required for the regulation of body temperature. Although it is primarily a physical burden, hyperhidrosis can deteriorate the quality of life of the people who are affected, frequently leading to psychological, physical, and social consequences. Hyperhidrosis can lead to difficulties in professional fields, with more than 80% of patients experiencing moderate to severe emotional effects from the disease.",Wikipedia_fallback,https://en.wikipedia.org/wiki/Hyperhidrosis,2026-02-07,hyperhidrosis
stroke,"Stroke is a medical condition in which poor blood flow to a part of the brain causes cell death. There are two main types of stroke: ischemic, due to lack of blood flow, and hemorrhagic, due to bleeding. Both cause parts of the brain to stop functioning properly.",Wikipedia_fallback,https://en.wikipedia.org/wiki/Stroke,2026-02-07,stroke
pilonidal cyst,"Pilonidal disease is a type of skin infection that typically occurs as a cyst between the cheeks of the buttocks and often at the upper end. Symptoms may include pain, swelling, and redness. There may also be drainage of fluid, but rarely a fever.",Wikipedia_fallback,https://en.wikipedia.org/wiki/Pilonidal_disease,2026-02-07,pilonidal cyst
crushing injury,"A crush injury is injury by an object that causes compression of the body. This form of injury is rare in normal civilian practice, but common following a natural disaster. Other causes include industrial accidents, road traffic collisions, building collapse, accidents involving heavy plant, disaster relief or terrorist incidents.",Wikipedia_fallback,https://en.wikipedia.org/wiki/Crush_injury,2026-02-07,crush injury
normal pressure hydrocephalus,"Normal pressure hydrocephalus (NPH), also called malresorptive hydrocephalus, is a form of communicating hydrocephalus in which excess cerebrospinal fluid (CSF) builds up in the ventricles, leading to normal or slightly elevated cerebrospinal fluid pressure. The fluid build-up causes the ventricles to enlarge and the pressure inside the head to increase, compressing surrounding brain tissue and leading to neurological complications. Although the cause of idiopathic NPH remains unclear, it has been associated with various co-morbidities including hypertension, diabetes mellitus, Alzheimer's disease, and hyperlipidemia. Causes of secondary NPH include trauma, hemorrhage, or infection. The disease presents in a classic triad of symptoms, which are memory impairment, urinary frequency, and balance problems/gait deviations. The disease was first described by Salomón Hakim and Raymond Adams in 1965.",Wikipedia_fallback,https://en.wikipedia.org/wiki/Normal_pressure_hydrocephalus,2026-02-07,normal pressure hydrocephalus
alopecia,"Hair loss, also known as alopecia or baldness, refers to a loss of hair from part of the head or body. Typically at least the head is involved. The severity of hair loss can vary from a small area to the entire body. Inflammation or scarring is not usually present. Hair loss in some people causes psychological distress.",Wikipedia_fallback,https://en.wikipedia.org/wiki/Hair_loss,2026-02-07,alopecia
hashimoto thyroiditis,"Hashimoto's thyroiditis, also known as chronic lymphocytic thyroiditis, Hashimoto's disease and autoimmune thyroiditis, is an autoimmune disease in which the thyroid gland is gradually destroyed.",Wikipedia_fallback,https://en.wikipedia.org/wiki/Hashimoto's_thyroiditis,2026-02-07,hashimoto thyroiditis
flat feet,"Flat feet, also called pes planus or fallen arches, is a postural deformity in which the arches of the foot collapse, with the entire sole of the foot coming into complete or near-complete contact with the ground. Sometimes children are born with flat feet (congenital). There is a functional relationship between the structure of the arch of the foot and the biomechanics of the lower leg. The arch provides an elastic, springy connection between the forefoot and the hind foot so that a majority of the forces incurred during weight bearing on the foot can be dissipated before the force reaches the long bones of the leg and thigh.",Wikipedia_fallback,https://en.wikipedia.org/wiki/Flat_feet,2026-02-07,flat feet
nash,"Metabolic dysfunction–associated steatotic liver disease (MASLD), previously known as non-alcoholic fatty liver disease (NAFLD), is a type of chronic liver disease. 
This condition is diagnosed when there is excessive fat build-up in the liver (hepatic steatosis), and at least one metabolic risk factor. When there is also increased alcohol intake, the term MetALD, or metabolic dysfunction and alcohol associated/related liver disease is used, and differentiated from alcohol-related liver disease (ALD) where alcohol is the predominant cause of the steatotic liver disease. The terms non-alcoholic fatty liver (NAFL) and non-alcoholic steatohepatitis (NASH, now known as metabolic dysfunction associated steatohepatitis (MASH)) have been used to describe different severities, the latter indicating the presence of further liver inflammation. MASLD may progress to MASH, with the risk of progression estimated as 7–35% per year. MASH may also regress to MASLD, especially with healthy diet, exercise and medications. Both MASLD and MASH have liver related complications such as cirrhosis, liver cancer, liver failure, as well as liver independent complications such as cardiovascular disease. These complications are much more common with MASH.",Wikipedia_fallback,https://en.wikipedia.org/wiki/Metabolic_dysfunction%E2%80%93associated_steatotic_liver_disease,2026-02-07,metabolic dysfunction-associated steatohepatitis
hemarthrosis,Hemarthrosis is a bleeding into joint spaces. It is a common feature of hemophilia.,Wikipedia_fallback,https://en.wikipedia.org/wiki/Hemarthrosis,2026-02-07,hemarthrosis
pelvic organ prolapse,"Pelvic organ prolapse (POP) is characterized by descent of pelvic organs from their normal positions into the vagina. In women, the condition usually occurs when the pelvic floor collapses after gynecological cancer treatment, childbirth or heavy lifting. Injury incurred to fascia membranes and other connective structures can result in cystocele, rectocele or both. Treatment can involve dietary and lifestyle changes, physical therapy, or surgery.",Wikipedia_fallback,https://en.wikipedia.org/wiki/Pelvic_organ_prolapse,2026-02-07,pelvic organ prolapse
fracture of the arm,"In human anatomy, the arm refers to the upper limb in common usage, although academically the term specifically means the upper arm between the glenohumeral joint and the elbow joint. The distal part of the upper arm between the elbow and the radiocarpal joint is known as the forearm or ""lower"" arm, and the extremity beyond the wrist is the hand.",Wikipedia_fallback,https://en.wikipedia.org/wiki/Arm,2026-02-07,arm fracture
coagulation bleeding disorder,"Coagulopathy is a condition in which the blood's ability to coagulate is impaired. This condition can cause a tendency toward prolonged or excessive bleeding, which may occur spontaneously or following an injury or medical and dental procedures.",Wikipedia_fallback,https://en.wikipedia.org/wiki/Coagulopathy,2026-02-07,bleeding disorder
intracranial hemorrhage,"Intracranial hemorrhage (ICH) refers to any form of bleeding within the skull. It can result from trauma, vascular abnormalities, hypertension, or other medical conditions. ICH is broadly categorized into several subtypes based on the location of the bleed: intracerebral hemorrhage, subarachnoid hemorrhage, epidural hemorrhage, and subdural hematoma. Each subtype has distinct causes, clinical features, and treatment approaches.",Wikipedia_fallback,https://en.wikipedia.org/wiki/Intracranial_hemorrhage,2026-02-07,intracranial hemorrhage
hyperkalemia,"Hyperkalemia is an elevated level of potassium (K+) in the blood. Normal potassium levels are between 3.5 and 5.0 mmol/L (3.5 and 5.0 mEq/L) with levels above 5.5 mmol/L defined as hyperkalemia. Typically hyperkalemia does not cause symptoms. Occasionally when severe it can cause palpitations, muscle pain, muscle weakness, or numbness. Hyperkalemia can cause an abnormal heart rhythm which can result in cardiac arrest and death.",Wikipedia_fallback,https://en.wikipedia.org/wiki/Hyperkalemia,2026-02-07,hyperkalemia
cornea infection,"The cornea is the transparent front part of the eyeball which covers the iris, pupil, and anterior chamber. Along with the anterior chamber and lens, the cornea refracts light, accounting for approximately two-thirds of the eye's total optical power. In humans, the refractive power of the cornea is approximately 43 dioptres. The cornea can be reshaped by surgical procedures such as LASIK.",Wikipedia_search,https://en.wikipedia.org/wiki/Cornea,2026-02-07,cornea infection | wiki_title:Cornea
abscess of the lung,Lung abscess is a type of liquefactive necrosis of the lung tissue and formation of cavities containing necrotic debris or fluid caused by microbial infection.,Wikipedia_fallback,https://en.wikipedia.org/wiki/Lung_abscess,2026-02-07,lung abscess
chronic sinusitis,"Sinusitis, also known as rhinosinusitis and commonly known as a sinus infection, is an inflammation of the mucous membranes that line the sinuses resulting in symptoms that may include production of thick nasal mucus, nasal congestion, facial congestion, facial pain, facial pressure, loss of smell, or fever.",Wikipedia_fallback,https://en.wikipedia.org/wiki/Sinusitis,2026-02-07,chronic sinusitis
cholesteatoma,"Cholesteatoma is a destructive and expanding growth consisting of keratinizing squamous epithelium in the middle ear and/or mastoid process. Cholesteatomas are not cancerous as the name may suggest, but can cause significant problems because of their erosive and expansile properties. This can result in the destruction of the bones of the middle ear (ossicles), as well as growth through the base of the skull into the brain. They often become infected and can result in chronically draining ears. Treatment almost always consists of surgical removal.",Wikipedia_fallback,https://en.wikipedia.org/wiki/Cholesteatoma,2026-02-07,cholesteatoma
volvulus,"A volvulus is a bowel obstruction resulting from a loop of intestine twisting around itself and its supporting mesentery. Symptoms include abdominal pain, abdominal bloating, vomiting, constipation, and bloody stool. Onset of symptoms may be rapid or more gradual. The mesentery may become so tightly twisted that blood flow to part of the intestine is cut off, resulting in ischemic bowel. In this situation there may be fever or significant pain when the abdomen is touched.",Wikipedia_fallback,https://en.wikipedia.org/wiki/Volvulus,2026-02-07,volvulus
injury to the finger,"A mallet finger, also known as hammer finger or PLF finger or Hannan finger, is an extensor tendon injury at the farthest away finger joint. This results in the inability to extend the finger tip without pushing it. There is generally pain and bruising at the back side of the farthest away finger joint.",Wikipedia_search,https://en.wikipedia.org/wiki/Mallet_finger,2026-02-07,finger injury | wiki_title:Mallet finger
poisoning due to analgesics,"Ibuprofen is a nonsteroidal anti-inflammatory drug (NSAID) that is used to relieve pain, fever, and inflammation. This includes painful menstrual periods, migraines, and rheumatoid arthritis. It can be taken orally or intravenously. It typically begins working within an hour.",Wikipedia_search,https://en.wikipedia.org/wiki/Ibuprofen,2026-02-07,analgesic poisoning | wiki_title:Ibuprofen
atrial fibrillation,"Atrial fibrillation is an abnormal heart rhythm (arrhythmia) characterized by rapid and irregular beating of the atrial chambers of the heart. It often begins as short periods of abnormal beating, which become longer or continuous over time. It may also start as other forms of arrhythmia, such as atrial flutter, that transform into AF.",Wikipedia_fallback,https://en.wikipedia.org/wiki/Atrial_fibrillation,2026-02-07,atrial fibrillation
pinworm infection,"Pinworm infection, also known as enterobiasis, is a human parasitic disease caused by the pinworm, Enterobius vermicularis. The most common symptom is pruritus ani, or itching in the anal area. The period of time from swallowing eggs to the appearance of new eggs around the anus is 4 to 8 weeks. Some people who are infected do not have symptoms.",Wikipedia_fallback,https://en.wikipedia.org/wiki/Pinworm_infection,2026-02-07,pinworm infection
urethral valves,"Posterior urethral valve (PUV) disorder is an obstructive developmental anomaly in the urethra and genitourinary system of male newborns. A posterior urethral valve is an obstructing membrane in the posterior male urethra as a result of abnormal in utero development. It is the most common cause of bladder outlet obstruction in male newborns. The disorder varies in degree, with mild cases presenting late due to milder symptoms. More severe cases can have renal and respiratory failure from lung underdevelopment as result of low amniotic fluid volumes, requiring intensive care and close monitoring. It occurs in about one in 8,000 babies.",Wikipedia_fallback,https://en.wikipedia.org/wiki/Posterior_urethral_valve,2026-02-07,posterior urethral valves
open wound of the neck,"A wound is any disruption of or damage to living tissue, such as skin, mucous membranes, or organs. Wounds can either be the sudden result of direct trauma, or can develop slowly over time due to underlying disease processes such as diabetes mellitus, venous/arterial insufficiency, or immunologic disease. Wounds can vary greatly in their appearance depending on wound location, injury mechanism, depth of injury, timing of onset, and wound sterility, among other factors. Treatment strategies for wounds will vary based on the classification of the wound, therefore it is essential that wounds be thoroughly evaluated by a healthcare professional for proper management. In normal physiology, all wounds will undergo a series of steps collectively known as the wound healing process, which include hemostasis, inflammation, proliferation, and tissue remodeling. Age, tissue oxygenation, stress, underlying medical conditions, and certain medications are just a few of the many factors known to affect the rate of wound healing.",Wikipedia_fallback,https://en.wikipedia.org/wiki/Wound,2026-02-07,wound
achalasia,"Esophageal achalasia, often referred to simply as achalasia, is a failure of smooth muscle fibers to relax, which can cause the lower esophageal sphincter to remain closed. Without a modifier, ""achalasia"" usually refers to achalasia of the esophagus. Achalasia can happen at various points along the gastrointestinal tract; achalasia of the rectum, for instance, may occur in Hirschsprung's disease. The lower esophageal sphincter is a muscle between the esophagus and stomach that opens when food comes in. It closes to avoid stomach acids from coming back up. A fully understood cause to the disease is unknown, as are factors that increase the risk of its appearance. Suggestions of a genetically transmittable form of achalasia exist, but this is neither fully understood, nor agreed upon.",Wikipedia_fallback,https://en.wikipedia.org/wiki/Esophageal_achalasia,2026-02-07,achalasia
conductive hearing loss,"Conductive hearing loss (CHL) is a type of hearing impairment that occurs when sound waves are unable to efficiently travel through the outer ear, tympanic membrane (eardrum), or middle ear structures such as the ossicles. This blockage or dysfunction prevents sound from being effectively conducted to the inner ear, resulting in reduced hearing ability. Common causes include ear infections, fluid in the middle ear, earwax buildup, damage to the eardrum, or abnormalities in the ossicles.",Wikipedia_fallback,https://en.wikipedia.org/wiki/Conductive_hearing_loss,2026-02-07,conductive hearing loss
abdominal hernia,"A hernia is the abnormal exit of tissue or an organ, such as the bowel, through the wall of the cavity in which it normally resides. The term is also used for the normal development of the intestinal tract, referring to the retraction of the intestine from the extra-embryonal navel coelom into the abdomen in the healthy embryo at about 71⁄2 weeks.",Wikipedia_fallback,https://en.wikipedia.org/wiki/Hernia,2026-02-07,abdominal hernia
cerebral palsy,"Cerebral palsy (CP) is a group of movement disorders that appear in early childhood. Signs and symptoms vary among people and over time, but include poor coordination, stiff muscles, weak muscles, and tremors. There may be problems with sensation, vision, hearing, and speech. Often, babies with cerebral palsy do not roll over, sit, crawl or walk as early as other children. Other symptoms may include seizures and problems with thinking or reasoning. While symptoms may get more noticeable over the first years of life, underlying problems do not worsen over time.",Wikipedia_fallback,https://en.wikipedia.org/wiki/Cerebral_palsy,2026-02-07,cerebral palsy
marijuana abuse,"Cannabis use disorder (CUD), also known as cannabis addiction or marijuana addiction, is a psychiatric disorder defined in the fifth revision of the Diagnostic and Statistical Manual of Mental Disorders (DSM-5) and ICD-11 as the continued use of cannabis despite clinically significant impairment.",Wikipedia_fallback,https://en.wikipedia.org/wiki/Cannabis_use_disorder,2026-02-07,marijuana abuse
cryptococcosis,"Cryptococcosis is a potentially fatal fungal infection of mainly the lungs, presenting as a pneumonia, and in the brain, where it appears as a meningitis. Coughing, difficulty breathing, chest pain and fever are seen when the lungs are infected. When the brain is infected, symptoms include headache, fever, neck pain, nausea and vomiting, light sensitivity and confusion or changes in behavior. It can also affect other parts of the body including skin, where it may appear as several fluid-filled nodules with dead tissue.",Wikipedia_fallback,https://en.wikipedia.org/wiki/Cryptococcosis,2026-02-07,cryptococcosis
obesity,"Obesity is a medical condition, considered by multiple organizations to be a disease, in which excess body fat has accumulated to such an extent that it can have negative effects on health. People are classified as obese when their body mass index (BMI)—a person's weight divided by the square of the person's height—is over 30 kg/m2; the range 25–30 kg/m2 is defined as overweight. Some East Asian countries use lower values to calculate obesity. Obesity is a major cause of disability and is correlated with various diseases and conditions, particularly cardiovascular diseases, type 2 diabetes, obstructive sleep apnea, certain types of cancer, and osteoarthritis.",Wikipedia_fallback,https://en.wikipedia.org/wiki/Obesity,2026-02-07,obesity
indigestion,"Indigestion, also known as dyspepsia or upset stomach, is a condition of impaired digestion. Symptoms may include upper abdominal fullness, heartburn, nausea, belching, flatulence or upper abdominal pain. People may also experience feeling full earlier than expected when eating. Indigestion is relatively common, affecting 20% of people at some point during their life, and is frequently caused by gastroesophageal reflux disease (GERD) or gastritis.",Wikipedia_fallback,https://en.wikipedia.org/wiki/Indigestion,2026-02-07,indigestion
bursitis,"Bursitis is the inflammation of one or more bursae in the body. Bursae are small sacs filled with lubricating synovial fluid that decrease friction at contact points between bones, skin, tendons, and muscle. Irritation of the bursae usually occurs as a result of overuse or trauma, but may also occur due to systemic illnesses. While there are more than 150 bursae in the human body, common sites of bursitis include the shoulder, elbow, hip, and knee. Bursitis is typically associated with redness and swelling, but may also be associated with pain, warmth, or decreased range of motion. Bursitis is typically treated with conservative management, but additional evaluation and treatment may be required if initial management fails.",Wikipedia_fallback,https://en.wikipedia.org/wiki/Bursitis,2026-02-07,bursitis
esophageal cancer,"Esophageal cancer or oesophageal cancer is cancer arising from the esophagus—the food pipe that runs between the throat and the stomach. Symptoms often include difficulty in swallowing and weight loss. Other symptoms may include pain when swallowing, a hoarse voice, enlarged lymph nodes (""glands"") around the collarbone, a dry cough, and possibly coughing up or vomiting blood.",Wikipedia_fallback,https://en.wikipedia.org/wiki/Esophageal_cancer,2026-02-07,esophageal cancer
pulmonary congestion,"Pulmonary edema, also known as pulmonary congestion, is excessive fluid accumulation in the tissue or air spaces of the lungs. This leads to impaired gas exchange, most often leading to shortness of breath (dyspnea) which can progress to hypoxemia and respiratory failure. Pulmonary edema has multiple causes and is traditionally classified as cardiogenic or noncardiogenic.",Wikipedia_fallback,https://en.wikipedia.org/wiki/Pulmonary_edema,2026-02-07,pulmonary congestion
juvenile rheumatoid arthritis,"Juvenile idiopathic arthritis (JIA), formerly known as juvenile rheumatoid arthritis (JRA), is the most common chronic rheumatic disease of childhood, affecting approximately 3.8 to 400 out of 100,000 children. Juvenile refers to disease onset before 16 years of age, while idiopathic refers to a condition with no defined cause, and arthritis is inflammation within the joint.",Wikipedia_fallback,https://en.wikipedia.org/wiki/Juvenile_idiopathic_arthritis,2026-02-07,juvenile rheumatoid arthritis
actinic keratosis,"Actinic keratosis (AK), sometimes called solar keratosis or senile keratosis, is a pre-cancerous area of thick, scaly, or crusty skin. Actinic keratosis is a disorder of epidermal keratinocytes that is induced by ultraviolet (UV) light exposure.",Wikipedia_fallback,https://en.wikipedia.org/wiki/Actinic_keratosis,2026-02-07,actinic keratosis
